external_id	module_number	chapter_number	chapter_title	objective_code	concept_code	question_family_code	question_type	question_style	difficulty	cognitive_level	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	memory_aid	remediation_text	source_document	source_pages	source_reference_text	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	visual_group	visual_file_name	visual_storage_path	visual_status	show_visual_button	exam_likeness	distractor_difficulty	eligible_for_final_exam	final_exam_weight	content_origin	style_reference	review_status	reinforcement_question_ids	estimated_time_seconds
AD-M1-Q001	1	1	Flight	AD1-1-aerodynamics	AD1-1-aerodynamics	AD1-1-aerodynamics	multiple_choice	direct_definition	medium	recall	Which term best matches this definition: the study of forces of air in motion?	aeronautics	aerodynamics	aviation	aerospace	B	The study of forces of air in motion.	Aerodynamics is correct because it means the study of forces of air in motion.	Not this one. Aeronautics is a different aerospace concept; the description matches aerodynamics.	Correct. The study of forces of air in motion.	Not this one. Aviation is a different aerospace concept; the description matches aerodynamics.	Not this one. Aerospace is a different aerospace concept; the description matches aerodynamics.	Aerodynamics = air in motion.	Review Module 1, Chapter 1, pages 1-2, and explain aerodynamics without looking.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	concept_card	optional_after_answer	airfoil_basics	A concise study visual illustrating aerodynamics.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q002	35
AD-M1-Q002	1	1	Flight	AD1-1-aerodynamics	AD1-1-aerodynamics	AD1-1-aerodynamics	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? An engineer studies how moving air creates forces on a wing.	aviation	aeronautics	aerodynamics	aerospace	C	The study of forces of air in motion.	Aerodynamics is correct because it means the study of forces of air in motion.	Not this one. Aviation is a different aerospace concept; the description matches aerodynamics.	Not this one. Aeronautics is a different aerospace concept; the description matches aerodynamics.	Correct. The study of forces of air in motion.	Not this one. Aerospace is a different aerospace concept; the description matches aerodynamics.	Aerodynamics = air in motion.	Identify the clue in the situation that distinguishes aerodynamics from the other choices.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	scenario_diagram	optional_after_answer	airfoil_basics	A concise study visual illustrating aerodynamics.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	true	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q001	45
AD-M1-Q003	1	1	Flight	AD1-1-airplane	AD1-1-airplane	AD1-1-airplane	multiple_choice	direct_definition	medium	recall	Which term best matches this definition: an aircraft kept aloft by aerodynamic forces on its wings and moved by propulsion?	glider	balloon	airfoil	airplane	D	An aircraft kept aloft by aerodynamic forces on its wings and moved by propulsion.	Airplane is correct because it means an aircraft kept aloft by aerodynamic forces on its wings and moved by propulsion.	Not this one. Glider is a different aerospace concept; the description matches airplane.	Not this one. Balloon is a different aerospace concept; the description matches airplane.	Not this one. Airfoil is a different aerospace concept; the description matches airplane.	Correct. An aircraft kept aloft by aerodynamic forces on its wings and moved by propulsion.	Airplane = wings plus propulsion.	Review Module 1, Chapter 1, pages 1-2, and explain airplane without looking.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	concept_card	optional_after_answer	AD1-1-airplane_direct	A concise study visual illustrating airplane.	Airplane = wings plus propulsion.	Study diagram illustrating airplane.				missing	false	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q004	35
AD-M1-Q004	1	1	Flight	AD1-1-airplane	AD1-1-airplane	AD1-1-airplane	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? The machine uses wings for lift and an engine to move forward.	balloon	airfoil	glider	airplane	D	An aircraft kept aloft by aerodynamic forces on its wings and moved by propulsion.	Airplane is correct because it means an aircraft kept aloft by aerodynamic forces on its wings and moved by propulsion.	Not this one. Balloon is a different aerospace concept; the description matches airplane.	Not this one. Airfoil is a different aerospace concept; the description matches airplane.	Not this one. Glider is a different aerospace concept; the description matches airplane.	Correct. An aircraft kept aloft by aerodynamic forces on its wings and moved by propulsion.	Airplane = wings plus propulsion.	Identify the clue in the situation that distinguishes airplane from the other choices.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	scenario_diagram	optional_after_answer	AD1-1-airplane_application	A concise study visual illustrating airplane.	Airplane = wings plus propulsion.	Study diagram illustrating airplane.				missing	false	high	close	false	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q003	45
AD-M1-Q005	1	1	Flight	AD1-1-airfoil	AD1-1-airfoil	AD1-1-airfoil	multiple_choice	direct_definition	medium	recall	Which term best matches this definition: a component designed to produce lift, thrust, or directional stability?	fuselage	airport	airfoil	altimeter	C	A component designed to produce lift, thrust, or directional stability.	Airfoil is correct because it means a component designed to produce lift, thrust, or directional stability.	Not this one. Fuselage is a different aerospace concept; the description matches airfoil.	Not this one. Airport is a different aerospace concept; the description matches airfoil.	Correct. A component designed to produce lift, thrust, or directional stability.	Not this one. Altimeter is a different aerospace concept; the description matches airfoil.	Airfoil shapes airflow.	Review Module 1, Chapter 1, pages 1-2, and explain airfoil without looking.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	concept_card	optional_after_answer	airfoil_basics	A concise study visual illustrating airfoil.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q006	35
AD-M1-Q006	1	1	Flight	AD1-1-airfoil	AD1-1-airfoil	AD1-1-airfoil	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? A wing cross-section is designed specifically to create an aerodynamic force.	altimeter	fuselage	airport	airfoil	D	A component designed to produce lift, thrust, or directional stability.	Airfoil is correct because it means a component designed to produce lift, thrust, or directional stability.	Not this one. Altimeter is a different aerospace concept; the description matches airfoil.	Not this one. Fuselage is a different aerospace concept; the description matches airfoil.	Not this one. Airport is a different aerospace concept; the description matches airfoil.	Correct. A component designed to produce lift, thrust, or directional stability.	Airfoil shapes airflow.	Identify the clue in the situation that distinguishes airfoil from the other choices.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	scenario_diagram	optional_after_answer	airfoil_basics	A concise study visual illustrating airfoil.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	true	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q005	45
AD-M1-Q007	1	1	Flight	AD1-1-camber	AD1-1-camber	AD1-1-camber	multiple_choice	direct_definition	medium	recall	Which term best matches this definition: the curved portion of an airfoil from leading edge to trailing edge?	camber	chord	span	relative wind	A	The curved portion of an airfoil from leading edge to trailing edge.	Camber is correct because it means the curved portion of an airfoil from leading edge to trailing edge.	Correct. The curved portion of an airfoil from leading edge to trailing edge.	Not this one. Chord is a different aerospace concept; the description matches camber.	Not this one. Span is a different aerospace concept; the description matches camber.	Not this one. Relative wind is a different aerospace concept; the description matches camber.	Camber = curve.	Review Module 1, Chapter 1, pages 1-2, and explain camber without looking.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	concept_card	optional_after_answer	airfoil_basics	A concise study visual illustrating camber.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q008	35
AD-M1-Q008	1	1	Flight	AD1-1-camber	AD1-1-camber	AD1-1-camber	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? A designer increases the upper curvature of a wing.	chord	relative wind	span	camber	D	The curved portion of an airfoil from leading edge to trailing edge.	Camber is correct because it means the curved portion of an airfoil from leading edge to trailing edge.	Not this one. Chord is a different aerospace concept; the description matches camber.	Not this one. Relative wind is a different aerospace concept; the description matches camber.	Not this one. Span is a different aerospace concept; the description matches camber.	Correct. The curved portion of an airfoil from leading edge to trailing edge.	Camber = curve.	Identify the clue in the situation that distinguishes camber from the other choices.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	scenario_diagram	optional_after_answer	airfoil_basics	A concise study visual illustrating camber.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	false	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q007	45
AD-M1-Q009	1	1	Flight	AD1-1-chord	AD1-1-chord	AD1-1-chord	multiple_choice	direct_definition	medium	recall	Which term best matches this definition: an imaginary straight line from an airfoil's leading edge to its trailing edge?	camber	axis	chord	span	C	An imaginary straight line from an airfoil's leading edge to its trailing edge.	Chord is correct because it means an imaginary straight line from an airfoil's leading edge to its trailing edge.	Not this one. Camber is a different aerospace concept; the description matches chord.	Not this one. Axis is a different aerospace concept; the description matches chord.	Correct. An imaginary straight line from an airfoil's leading edge to its trailing edge.	Not this one. Span is a different aerospace concept; the description matches chord.	Chord connects front to back.	Review Module 1, Chapter 1, pages 1-2, and explain chord without looking.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	concept_card	optional_after_answer	airfoil_basics	A concise study visual illustrating chord.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q010	35
AD-M1-Q010	1	1	Flight	AD1-1-chord	AD1-1-chord	AD1-1-chord	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? A technician draws a straight reference line through a wing cross-section from front to rear.	camber	span	axis	chord	D	An imaginary straight line from an airfoil's leading edge to its trailing edge.	Chord is correct because it means an imaginary straight line from an airfoil's leading edge to its trailing edge.	Not this one. Camber is a different aerospace concept; the description matches chord.	Not this one. Span is a different aerospace concept; the description matches chord.	Not this one. Axis is a different aerospace concept; the description matches chord.	Correct. An imaginary straight line from an airfoil's leading edge to its trailing edge.	Chord connects front to back.	Identify the clue in the situation that distinguishes chord from the other choices.	Aerospace Dimensions Module 1: Introduction to Flight	1-2	Module 1, Chapter 1, pages 1-2	medium	scenario_diagram	optional_after_answer	airfoil_basics	A concise study visual illustrating chord.	Airflow over a wing helps explain lift, pressure changes, angle of attack, and stall.	Airfoil diagram labeling leading edge, trailing edge, camber, chord line, relative wind, and airflow over the wing.	airfoil_basics	airfoil_basics_wing_and_airflow_diagram.png	/assets/cap-visuals/airfoil_basics_wing_and_airflow_diagram.png	approved	true	high	close	true	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M1-Q009	45
