external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds
LTL1-C1-PA-Q001	Pilot A	LTL1-C1-O01	LTL1-C1-K001	F01	easy	recall	multiple_choice	"According to Learn to Lead, why does America need leaders?"	To ensure that technology replaces the need for human judgment	"To stand up for what is right, put the team first, solve problems, and motivate others"	To make every organization operate exactly like the military	To guarantee that groups never experience failure	B	"America needs leaders who stand up for what is right, put the team’s needs ahead of their own, think creatively, and persuade or motivate others. The chapter explains that even advanced organizations can stumble without leadership."	"Technology can assist leaders, but the text says even a technologically advanced military can stumble without leadership."	"America needs leaders who stand up for what is right, put the team’s needs ahead of their own, think creatively, and persuade or motivate others. The chapter explains that even advanced organizations can stumble without leadership."	"The chapter uses military and civilian examples, but it does not say every organization should operate exactly like the military."	"Leadership improves direction and performance, but it cannot guarantee that failure will never occur."	Leadership is only necessary in the military or during emergencies.	"Review the four leadership needs in the opening section: moral courage, team-first service, creative thinking, and motivation."	"Learn to Lead Volume 1, Chapter 1, printed pages 6–7"	6–7	approved_source	draft	LTL1-C1-PA-Q004	60
LTL1-C1-PA-Q003	Pilot A	LTL1-C1-O01	LTL1-C1-K003	F02	medium	application	multiple_choice	Which cadet best demonstrates the first step of personal leadership?	A cadet who waits for a command position before taking responsibility	"A cadet who manages personal duties, contributes to the team, follows guidance, and maintains standards"	A cadet who gives frequent advice to others but ignores personal preparation	"A cadet who seeks the highest rank as quickly as possible, regardless of mastery"	B	"The first stage of leadership is learning to lead yourself. The chapter connects personal leadership with contributing to a team, wearing the uniform properly, drilling, and following the guidance of leaders."	Leadership begins before a person receives formal command authority.	"The first stage of leadership is learning to lead yourself. The chapter connects personal leadership with contributing to a team, wearing the uniform properly, drilling, and following the guidance of leaders."	Advice to others does not replace dependable self-management and personal example.	"Advancement is valuable only when paired with education, training, and mastery."	Leadership begins only after someone is placed in charge of others.	Have the learner identify one self-management habit that would make others more willing to trust them with leadership.	"Learn to Lead Volume 1, Chapter 1, printed page 7"	7	approved_source	draft	LTL1-C1-PA-Q002	75
LTL1-C1-PB-Q001	Pilot B	LTL1-C1-O05	LTL1-C1-K012	F01	easy	recall	multiple_choice	What are CAP’s Core Values?	Four optional goals that cadets may choose to follow	The four basic qualities CAP expects members to display at all times	A list of every possible leadership trait	Rules that apply only during official missions	B	"CAP’s Core Values are the four basic qualities expected of all members at all times: Integrity First, Volunteer Service, Excellence in All We Do, and Respect."	"The text treats the Core Values as basic expectations, not optional goals."	"CAP’s Core Values are the four basic qualities expected of all members at all times: Integrity First, Volunteer Service, Excellence in All We Do, and Respect."	The chapter explains that no short list can include every good quality; the four values summarize the basics.	The values guide daily conduct as well as CAP missions.	Core Values are ceremonial slogans or optional ideals.	Review the idea that the Core Values are moral guideposts and the 'price of admission' to CAP.	"Learn to Lead Volume 1, Chapter 1, printed page 9"	9	approved_source	draft	LTL1-C1-PB-Q002	60
LTL1-C1-PB-Q008	Pilot B	LTL1-C1-O06	LTL1-C1-K015	F01	easy	understanding	multiple_choice	Which statement best describes Excellence in All We Do?	Never making a mistake	"Giving your best effort, working with the team, and continually improving"	Doing better than every other cadet	Accepting only assignments in which success is guaranteed	B	"Excellence means best effort, teamwork, training, and continuous self-improvement. It is a commitment to quality and growth, not a promise of perfection."	Human beings make mistakes; excellence includes learning and improving.	"Excellence means best effort, teamwork, training, and continuous self-improvement. It is a commitment to quality and growth, not a promise of perfection."	Excellence is not defined by defeating everyone else.	Avoiding difficult assignments prevents growth and does not show best effort.	Excellence and perfection mean the same thing.	"Use an example of meaningful improvement after feedback, even if the result is not flawless."	"Learn to Lead Volume 1, Chapter 1, printed page 10"	10	approved_source	draft	LTL1-C1-PB-Q009	60
LTL1-C1-PC-Q006	Pilot C	LTL1-C1-O09	LTL1-C1-K022	F02	medium	application	multiple_choice	Which habit would most directly help a cadet develop self-discipline?	Doing only enjoyable tasks to maintain a positive attitude	Regularly completing necessary work even when it is not fun	Avoiding challenges that might reveal weakness	Waiting until motivation appears before beginning	B	The chapter recommends strengthening work habits by regularly doing necessary tasks that are not fun and pursuing worthwhile challenges.	A positive attitude does not mean avoiding necessary work.	The chapter recommends strengthening work habits by regularly doing necessary tasks that are not fun and pursuing worthwhile challenges.	Appropriate challenges help build discipline.	Disciplined action often begins before a person feels motivated.	Discipline develops only through punishment or crisis.	"Choose one small, repeatable necessary task and connect it to a meaningful goal."	"Learn to Lead Volume 1, Chapter 1, printed page 12"	12	approved_source	draft	LTL1-C1-PC-Q004; LTL1-C1-PC-Q008	75
LTL1-C1-PC-Q009	Pilot C	LTL1-C1-O10	LTL1-C1-K023	F01	easy	understanding	multiple_choice	What is attitude?	The state of mind behind your actions	A person’s official position in the chain of command	The ability to hide emotions from other people	A temporary opinion that cannot affect behavior	A	"Attitude is the state of mind behind actions. It affects how a person sees the world and becomes visible through behavior, posture, tone, preparation, and work quality."	"Attitude is the state of mind behind actions. It affects how a person sees the world and becomes visible through behavior, posture, tone, preparation, and work quality."	Position in the chain of command is unrelated to the definition.	Attitude is often visible rather than successfully hidden.	Attitude can strongly affect actions and the team.	Attitude is entirely private and cannot be observed.	"Ask what attitude might be revealed by posture, tone, preparation, and work quality."	"Learn to Lead Volume 1, Chapter 1, printed page 12"	12	approved_source	draft	LTL1-C1-PC-Q010; LTL1-C1-PC-Q011	60
LTL1-C1-PD-Q001	Pilot D	LTL1-C1-O12	LTL1-C1-K027	F01	easy	recall	multiple_choice	What is an oath?	A casual statement of preference	"A solemn promise, usually made publicly, that involves important duties or public good"	A private plan that can be changed without consequence	A military command given by a senior officer	B	"An oath is a solemn promise. Oaths are usually made publicly and involve duties that serve a public good, placing a person’s honor and reputation on the line."	A preference does not carry the seriousness or duty of an oath.	"An oath is a solemn promise. Oaths are usually made publicly and involve duties that serve a public good, placing a person’s honor and reputation on the line."	A private plan is not the same as a solemn public promise.	"An oath is a promise made by the person taking it, not an order from someone else."	An oath is simply any promise or goal.	Compare a casual intention with a public promise involving duty and accountability.	"Learn to Lead Volume 1, Chapter 1, printed page 14"	14	approved_source	draft	LTL1-C1-PD-Q002	60
LTL1-C1-PD-Q005	Pilot D	LTL1-C1-O13	LTL1-C1-K028	F11	hard	recall	multiple_choice	Which phrase correctly completes the Cadet Oath after “advance my education and training rapidly”?	To earn the highest rank possible	"To prepare myself to be of service to my community, state, and nation"	To become an officer in the United States Air Force	To prove that I am better prepared than other cadets	B	"The oath concludes by connecting education and training with service to the community, state, and nation."	Rank is not the final purpose stated in the oath.	"The oath concludes by connecting education and training with service to the community, state, and nation."	CAP cadet membership does not promise an Air Force commission.	"The oath emphasizes service, not superiority over others."	The main purpose of cadet training is personal achievement or rank.	Link the final clause to Volunteer Service and responsible citizenship.	"Learn to Lead Volume 1, Chapter 1, printed page 14"	14	approved_source	draft	LTL1-C1-PD-Q003; LTL1-C1-PD-Q013	90
LTL1-C1-PD-Q006	Pilot D	LTL1-C1-O14	LTL1-C1-K029	F02	easy	understanding	multiple_choice	What does “serve faithfully” mean in the Cadet Oath?	Never making a mistake as a cadet	Being true to the commitment and doing what you say you will do	Serving only when an activity is enjoyable	Following the program because someone else forced you to join	B	Faithful service means being true and dependable in carrying out the commitment made freely by joining CAP.	Faithfulness does not require perfection.	Faithful service means being true and dependable in carrying out the commitment made freely by joining CAP.	Commitment continues even when a task is not enjoyable.	The text emphasizes freely choosing to become a cadet.	Faithful service means perfect performance.	Ask what dependable action looks like after the initial excitement of joining fades.	"Learn to Lead Volume 1, Chapter 1, printed page 15"	15	approved_source	draft	LTL1-C1-PD-Q007	60
LTL1-C1-PE-Q012	Pilot E	LTL1-C1-O22	LTL1-C1-K049	F03	medium	understanding	multiple_choice	Why is wearing the CAP uniform described as a privilege rather than a right?	Because cadets may wear it only when they personally feel worthy	Because CAP’s Air Force-style uniform carries standards and a special obligation to wear it properly and proudly	Because only cadet officers truly earn the uniform	Because uniform wear is optional during all CAP activities	B	"The uniform is a privilege connected with CAP’s role as the Air Force Auxiliary. That privilege brings conditions, standards, and responsibility."	Personal feelings do not replace official rules and authorization.	"The uniform is a privilege connected with CAP’s role as the Air Force Auxiliary. That privilege brings conditions, standards, and responsibility."	"The privilege applies to authorized cadets, not only officers."	"Whether a uniform is required depends on the activity, but the concept of privilege is not based on total optionality."	Membership permits a cadet to wear the uniform in any style the cadet prefers.	Contrast a privilege granted under standards with an unconditional personal possession.	"Learn to Lead Volume 1, Chapter 1, printed page 20"	20	approved_source	draft	LTL1-C1-PE-Q010; LTL1-C1-PE-Q011	75
