external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_mode	question_style	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	feedback_display_version	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	memory_aid	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds	chapter_number	exam_likeness	distractor_difficulty	eligible_for_final_exam	final_exam_weight	content_origin	style_reference
LTL2-C4-Q001	Professionalism	C4-O1	C4-K001	C4-K001-001	easy	recall	multiple_choice	mixed	cap_direct	What three qualities most clearly define professionalism in this chapter?	Being paid, holding rank, and working full time	Serving the community, possessing special skills, and following an ethical code	Wearing a uniform, obeying orders, and earning promotions	Working efficiently, avoiding mistakes, and supervising others	B	Professionalism combines service above self, special competence, and commitment to an ethical code.	1	Professionalism combines service above self, special competence, and commitment to an ethical code.	Being paid is only the everyday meaning of professional; the chapter says professionalism requires much more.	Professionalism combines service above self, special competence, and commitment to an ethical code.	These may be parts of military life, but they are not the chapter’s three criteria.	Efficiency and supervision can matter, but they do not define professionalism.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Professionalism on pages 7. Focus on the exact definition and how it differs from nearby concepts.	Serve, Skill, Standards—professionalism’s three S’s.	high	three_part_icon_card	optional_after_answer	c4_k001_1	Three icons labeled Service, Skill, and Ethics arranged around the word Professionalism.	Professionalism rests on service, skill, and ethics.	Three icons representing service to others, special skill, and an ethical code.	Learn to Lead, Volume 2, Chapter 4, Professionalism	7	approved	draft	LTL2-C4-Q002|LTL2-C4-Q005	25	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q002	Professionalism	C4-O1	C4-K001	C4-K001-002	medium	understanding	multiple_choice	mixed	cap_direct	Why is a highly skilled person not necessarily a professional?	Professionalism requires rank in addition to skill	Professionalism requires service and ethical conduct as well as competence	Professionals must be paid for their work	Special skills matter only in technical jobs	B	Skill alone is incomplete; professionals also put the community first and follow moral principles.	1	Skill alone is incomplete; professionals also put the community first and follow moral principles.	Rank is not one of the three criteria for professionalism.	Skill alone is incomplete; professionals also put the community first and follow moral principles.	The chapter rejects pay as a complete definition.	The chapter applies special competence broadly, not only to technical work.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Professionalism on pages 7. Focus on the exact definition and how it differs from nearby concepts.	Skill without service and ethics is incomplete.	high	balance_diagram	optional_after_answer	c4_k001_2	A three-legged stool labeled Skill, Service, Ethics, with the Skill-only stool tipping over.	Professionalism needs all three supports.	A three-legged stool showing that skill alone cannot support professionalism.	Learn to Lead, Volume 2, Chapter 4, Professionalism	7	approved	draft	LTL2-C4-Q001|LTL2-C4-Q005	35	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q003	Professionalism	C4-O2	C4-K002	C4-K002-003	hard	scenario	multiple_choice	mixed	scenario	A cadet is extremely competent but uses every assignment to gain attention and ignores teammates’ needs. Which judgment best fits the chapter?	The cadet is professional because competence is the most important quality	The cadet is not fully professional because personal ambition is replacing service to the community	The cadet is professional if no regulation was broken	The cadet is unprofessional only if the team fails	B	Professionalism requires putting the community’s interest above personal gain, not merely displaying competence.	1	Professionalism requires putting the community’s interest above personal gain, not merely displaying competence.	Competence is necessary but not sufficient.	Professionalism requires putting the community’s interest above personal gain, not merely displaying competence.	Professionalism is broader than minimum rule compliance.	Professionalism concerns conduct and motives even if results happen to be successful.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Professionalism on pages 7. Focus on the exact definition and how it differs from nearby concepts.	Competence plus self-interest is not professionalism.	high	comparison_diagram	optional_after_answer	c4_k002_3	Two skilled cadets: one spotlighting self, one helping the team succeed.	Professional skill must serve more than the self.	A comparison between self-promoting competence and team-centered professional service.	Learn to Lead, Volume 2, Chapter 4, Professionalism	7	approved	draft	LTL2-C4-Q004|LTL2-C4-Q006	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q004	Professionalism	C4-O2	C4-K002	C4-K002-004	medium	application	multiple_choice	mixed	application	Which action best demonstrates professionalism in CAP?	Correcting a teammate publicly to prove expertise	Learning a regulation before teaching it and giving credit to others	Accepting every assignment even when unqualified	Avoiding feedback so others will view you as confident	B	Preparing carefully, respecting others, and using competence responsibly reflect professionalism.	1	Preparing carefully, respecting others, and using competence responsibly reflect professionalism.	Public correction for self-display lacks respect and service.	Preparing carefully, respecting others, and using competence responsibly reflect professionalism.	Professionals recognize limits and prepare rather than pretending competence.	Professionals accept ethical accountability and feedback.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Professionalism on pages 7-8. Focus on the exact definition and how it differs from nearby concepts.	Prepare, respect, serve.	high	sequence_diagram	optional_after_answer	c4_k002_4	Three steps: review the standard, teach accurately, credit the team.	Professionalism is preparation used in service of others.	A cadet reviewing a regulation, teaching accurately, and recognizing teammates.	Learn to Lead, Volume 2, Chapter 4, Professionalism	7-8	approved	draft	LTL2-C4-Q003|LTL2-C4-Q006	35	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q005	Professionalism	C4-O1	C4-K001	C4-K001-005	medium	misconception	multiple_choice	mixed	application	Which statement sounds reasonable but is incomplete according to the chapter?	A professional is someone who is paid for work	A professional develops competence in a field	A professional follows an ethical code	A professional puts the community’s interest above personal interest	A	Being paid is the everyday meaning, but the chapter says true professionalism requires service, competence, and ethics.	1	Being paid is the everyday meaning, but the chapter says true professionalism requires service, competence, and ethics.	Being paid is the everyday meaning, but the chapter says true professionalism requires service, competence, and ethics.	Special competence is one of the chapter’s three criteria.	An ethical code is one of the three criteria.	Serving the community above self is one of the three criteria.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Professionalism on pages 7. Focus on the exact definition and how it differs from nearby concepts.	Paid may describe a job; professional describes how it is done.	high	word_contrast	optional_after_answer	c4_k001_5	Two labels: Paid Worker and Professional, with the professional showing Service, Skill, Ethics.	Pay alone does not create professionalism.	A paid worker contrasted with a professional who demonstrates service, skill, and ethics.	Learn to Lead, Volume 2, Chapter 4, Professionalism	7	approved	draft	LTL2-C4-Q001|LTL2-C4-Q002	35	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q006	Professionalism	C4-O2	C4-K002	C4-K002-006	hard	analysis	multiple_choice	mixed	application	Why must leaders especially strive to be professionals?	Because leadership automatically makes them experts	Because followers judge standards partly through the leader’s conduct	Because professionals are allowed more flexibility than others	Because leaders are responsible only for ethical matters	B	Leaders influence others by example, so their service, competence, and ethics shape the team’s standards.	1	Leaders influence others by example, so their service, competence, and ethics shape the team’s standards.	Leadership does not automatically create expertise.	Leaders influence others by example, so their service, competence, and ethics shape the team’s standards.	Professionalism increases responsibility rather than granting personal exceptions.	Leaders have operational and people responsibilities as well as ethical ones.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Professionalism on pages 7-8. Focus on the exact definition and how it differs from nearby concepts.	People read the leader before they read the rule.	high	cause_effect_diagram	optional_after_answer	c4_k002_6	A leader’s behavior flowing outward to team standards and behavior.	The leader’s example teaches the team what matters.	A leader’s conduct influencing the behavior and standards of the whole team.	Learn to Lead, Volume 2, Chapter 4, Professionalism	7-8	approved	draft	LTL2-C4-Q003|LTL2-C4-Q004	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q007	Standards	C4-O3	C4-K003	C4-K003-007	easy	recall	multiple_choice	mixed	cap_direct	A standard is best defined as	a personal preference used when rules are unclear	an established requirement or principle by which something is judged	the average performance of most team members	a goal that must always remain unchanged	B	A standard is an established requirement or judging principle—a benchmark for acceptable performance.	1	A standard is an established requirement or judging principle—a benchmark for acceptable performance.	Preferences are personal; standards communicate an established expectation.	A standard is an established requirement or judging principle—a benchmark for acceptable performance.	A standard is not merely the average of current performance.	Standards can vary with circumstances and need not be inflexible.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Standards on pages 8. Focus on the exact definition and how it differs from nearby concepts.	Standard = yardstick.	high	yardstick_diagram	optional_after_answer	c4_k003_7	A yardstick beside work samples marked acceptable and below standard.	A standard is a benchmark for judging performance.	A yardstick used to compare acceptable and inferior work.	Learn to Lead, Volume 2, Chapter 4, Standards	8	approved	draft	LTL2-C4-Q008|LTL2-C4-Q009	25	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q008	Standards	C4-O3	C4-K003	C4-K003-008	medium	understanding	multiple_choice	mixed	cap_direct	What is the main purpose of standards for a team?	To eliminate the leader’s need to communicate	To tell members what is expected and what counts as acceptable work	To guarantee identical performance in every situation	To prevent teams from developing informal customs	B	Standards clarify expectations and provide a basis for judging the quality of work.	1	Standards clarify expectations and provide a basis for judging the quality of work.	Leaders still must clearly communicate and model standards.	Standards clarify expectations and provide a basis for judging the quality of work.	The chapter notes that standards can vary by situation.	Teams often develop informal standards; standards do not automatically prevent that.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Standards on pages 8. Focus on the exact definition and how it differs from nearby concepts.	Standards answer: What good looks like.	high	target_diagram	optional_after_answer	c4_k003_8	A target labeled Expected Performance with examples inside and outside the target.	Standards show the team what acceptable performance looks like.	A target representing expected performance and work being judged against it.	Learn to Lead, Volume 2, Chapter 4, Standards	8	approved	draft	LTL2-C4-Q007|LTL2-C4-Q009	35	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q009	Standards	C4-O3	C4-K003	C4-K003-009	hard	scenario	multiple_choice	mixed	scenario	A commander allows casual dress at a picnic but requires formal uniform standards for an awards ceremony. What principle does this illustrate?	A standard is valid only when written in a regulation	Standards may change with the situation without becoming meaningless	Informal standards should replace official standards	Leaders should avoid raising standards once a team is comfortable	B	Standards can be meaningful and situation-sensitive without becoming impractically rigid.	1	Standards can be meaningful and situation-sensitive without becoming impractically rigid.	Commanders may also establish standards orally, and context matters.	Standards can be meaningful and situation-sensitive without becoming impractically rigid.	Informal standards do not replace official requirements.	Wise leaders may raise standards when circumstances call for it.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Standards on pages 8. Focus on the exact definition and how it differs from nearby concepts.	Same yardstick idea, different setting.	high	context_comparison	optional_after_answer	c4_k003_9	A picnic and an awards ceremony with different appropriate dress expectations.	Good standards fit the situation while preserving expectations.	Two settings showing different but appropriate dress standards.	Learn to Lead, Volume 2, Chapter 4, Standards	8	approved	draft	LTL2-C4-Q007|LTL2-C4-Q008	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q010	Standards	C4-O3	C4-K004	C4-K004-010	medium	application	multiple_choice	mixed	application	Which method most powerfully communicates a leader’s standard?	Posting the standard once and assuming everyone remembers	Modeling the standard consistently in the leader’s own behavior	Correcting only the lowest performer	Changing the standard whenever someone complains	B	The chapter calls the leader’s example the most important standard of all.	1	The chapter calls the leader’s example the most important standard of all.	Written communication helps, but one-time posting without follow-through is weak.	The chapter calls the leader’s example the most important standard of all.	Standards apply to the whole team and should not be enforced selectively.	Standards should be meaningful, not casually changed to avoid discomfort.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Standards on pages 8. Focus on the exact definition and how it differs from nearby concepts.	Example beats announcement.	high	mirror_diagram	optional_after_answer	c4_k004_10	A team mirroring a leader who models the expected behavior.	The leader’s example becomes the team’s strongest standard.	Team members copying the leader’s modeled behavior.	Learn to Lead, Volume 2, Chapter 4, Standards	8	approved	draft	LTL2-C4-Q011	35	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
