external_id	module_number	chapter_number	chapter_title	objective_code	concept_code	question_family_code	question_type	question_style	difficulty	cognitive_level	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	memory_aid	remediation_text	source_document	source_pages	source_reference_text	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_group	visual_file_name	visual_storage_path	visual_status	show_visual_button	visual_brief	visual_caption	visual_alt_text	exam_likeness	distractor_difficulty	eligible_for_final_exam	final_exam_weight	content_origin	style_reference	review_status	reinforcement_question_ids	estimated_time_seconds
AD-M2-Q001	2	1	Airplane Systems	AD2-1-reciprocating_engine	AD2-1-reciprocating_engine	AD2-1-reciprocating_engine	multiple_choice	direct_definition	medium	recall	Which answer best matches this description: an internal-combustion engine whose internal parts move back and forth while processing fuel and air?	rocket engine	reciprocating engine	electric motor	jet engine	B	An internal-combustion engine whose internal parts move back and forth while processing fuel and air.	Reciprocating engine is correct because it means an internal-combustion engine whose internal parts move back and forth while processing fuel and air.	Not this one. Rocket engine is a different Module 2 concept; the wording or scenario matches reciprocating engine.	Correct. An internal-combustion engine whose internal parts move back and forth while processing fuel and air.	Not this one. Electric motor is a different Module 2 concept; the wording or scenario matches reciprocating engine.	Not this one. Jet engine is a different Module 2 concept; the wording or scenario matches reciprocating engine.	Reciprocating = back-and-forth motion.	Review Module 2, Chapter 1, pages 1-4, then explain reciprocating engine in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	1-4	Module 2, Chapter 1, pages 1-4	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q002	35
AD-M2-Q002	2	1	Airplane Systems	AD2-1-reciprocating_engine	AD2-1-reciprocating_engine	AD2-1-reciprocating_engine	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? A piston repeatedly moves up and down inside a cylinder while fuel and air are burned.	reciprocating engine	rocket engine	jet engine	electric motor	A	An internal-combustion engine whose internal parts move back and forth while processing fuel and air.	Reciprocating engine is correct because it means an internal-combustion engine whose internal parts move back and forth while processing fuel and air.	Correct. An internal-combustion engine whose internal parts move back and forth while processing fuel and air.	Not this one. Rocket engine is a different Module 2 concept; the wording or scenario matches reciprocating engine.	Not this one. Jet engine is a different Module 2 concept; the wording or scenario matches reciprocating engine.	Not this one. Electric motor is a different Module 2 concept; the wording or scenario matches reciprocating engine.	Reciprocating = back-and-forth motion.	Review Module 2, Chapter 1, pages 1-4, then explain reciprocating engine in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	1-4	Module 2, Chapter 1, pages 1-4	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	true	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q001	45
AD-M2-Q003	2	1	Airplane Systems	AD2-1-powerplant	AD2-1-powerplant	AD2-1-powerplant	multiple_choice	direct_definition	medium	recall	Which answer best matches this description: the airplane engine together with the accessories that use part of its energy?	powerplant	airframe	carburetor	propeller	A	The airplane engine together with the accessories that use part of its energy.	Powerplant is correct because it means the airplane engine together with the accessories that use part of its energy.	Correct. The airplane engine together with the accessories that use part of its energy.	Not this one. Airframe is a different Module 2 concept; the wording or scenario matches powerplant.	Not this one. Carburetor is a different Module 2 concept; the wording or scenario matches powerplant.	Not this one. Propeller is a different Module 2 concept; the wording or scenario matches powerplant.	Powerplant = engine + accessories.	Review Module 2, Chapter 1, pages 1-2, then explain powerplant in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	1-2	Module 2, Chapter 1, pages 1-2	high	educational_infographic	optional_after_answer	electrical_jet_engine	electrical_jet_engine	module2_electrical_and_jet_engine.png	/assets/cap-visuals/module2_electrical_and_jet_engine.png	approved	true	Magneto versus alternator plus fan-compressor-burner-turbine jet flow.	Magneto versus alternator plus fan-compressor-burner-turbine jet flow.	Magneto versus alternator plus fan-compressor-burner-turbine jet flow.	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q004	35
AD-M2-Q004	2	1	Airplane Systems	AD2-1-powerplant	AD2-1-powerplant	AD2-1-powerplant	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? The engine also supplies energy to accessories such as electrical and cabin systems.	airframe	powerplant	propeller	carburetor	B	The airplane engine together with the accessories that use part of its energy.	Powerplant is correct because it means the airplane engine together with the accessories that use part of its energy.	Not this one. Airframe is a different Module 2 concept; the wording or scenario matches powerplant.	Correct. The airplane engine together with the accessories that use part of its energy.	Not this one. Propeller is a different Module 2 concept; the wording or scenario matches powerplant.	Not this one. Carburetor is a different Module 2 concept; the wording or scenario matches powerplant.	Powerplant = engine + accessories.	Review Module 2, Chapter 1, pages 1-2, then explain powerplant in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	1-2	Module 2, Chapter 1, pages 1-2	high	educational_infographic	optional_after_answer	electrical_jet_engine	electrical_jet_engine	module2_electrical_and_jet_engine.png	/assets/cap-visuals/module2_electrical_and_jet_engine.png	approved	true	Magneto versus alternator plus fan-compressor-burner-turbine jet flow.	Magneto versus alternator plus fan-compressor-burner-turbine jet flow.	Magneto versus alternator plus fan-compressor-burner-turbine jet flow.	high	close	false	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q003	45
AD-M2-Q005	2	1	Airplane Systems	AD2-1-intake_valve	AD2-1-intake_valve	AD2-1-intake_valve	multiple_choice	direct_definition	medium	recall	Which answer best matches this description: the valve that opens to let the fuel-air mixture enter the cylinder?	intake valve	fuel selector	throttle valve	exhaust valve	A	The valve that opens to let the fuel-air mixture enter the cylinder.	Intake valve is correct because it means the valve that opens to let the fuel-air mixture enter the cylinder.	Correct. The valve that opens to let the fuel-air mixture enter the cylinder.	Not this one. Fuel selector is a different Module 2 concept; the wording or scenario matches intake valve.	Not this one. Throttle valve is a different Module 2 concept; the wording or scenario matches intake valve.	Not this one. Exhaust valve is a different Module 2 concept; the wording or scenario matches intake valve.	Intake lets mixture in.	Review Module 2, Chapter 1, pages 2-4, then explain intake valve in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	2-4	Module 2, Chapter 1, pages 2-4	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q006	35
AD-M2-Q006	2	1	Airplane Systems	AD2-1-intake_valve	AD2-1-intake_valve	AD2-1-intake_valve	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? During the first stroke, the piston moves down while this valve opens.	throttle valve	intake valve	exhaust valve	fuel selector	B	The valve that opens to let the fuel-air mixture enter the cylinder.	Intake valve is correct because it means the valve that opens to let the fuel-air mixture enter the cylinder.	Not this one. Throttle valve is a different Module 2 concept; the wording or scenario matches intake valve.	Correct. The valve that opens to let the fuel-air mixture enter the cylinder.	Not this one. Exhaust valve is a different Module 2 concept; the wording or scenario matches intake valve.	Not this one. Fuel selector is a different Module 2 concept; the wording or scenario matches intake valve.	Intake lets mixture in.	Review Module 2, Chapter 1, pages 2-4, then explain intake valve in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	2-4	Module 2, Chapter 1, pages 2-4	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	true	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q005	45
AD-M2-Q007	2	1	Airplane Systems	AD2-1-exhaust_valve	AD2-1-exhaust_valve	AD2-1-exhaust_valve	multiple_choice	direct_definition	medium	recall	Which answer best matches this description: the valve that opens so burned gases can leave the cylinder?	intake valve	exhaust valve	mixture control	primer	B	The valve that opens so burned gases can leave the cylinder.	Exhaust valve is correct because it means the valve that opens so burned gases can leave the cylinder.	Not this one. Intake valve is a different Module 2 concept; the wording or scenario matches exhaust valve.	Correct. The valve that opens so burned gases can leave the cylinder.	Not this one. Mixture control is a different Module 2 concept; the wording or scenario matches exhaust valve.	Not this one. Primer is a different Module 2 concept; the wording or scenario matches exhaust valve.	Exhaust lets gases out.	Review Module 2, Chapter 1, pages 2-4, then explain exhaust valve in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	2-4	Module 2, Chapter 1, pages 2-4	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q008	35
AD-M2-Q008	2	1	Airplane Systems	AD2-1-exhaust_valve	AD2-1-exhaust_valve	AD2-1-exhaust_valve	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? At the end of the operating cycle, burned gases are pushed out through this opening.	primer	mixture control	exhaust valve	intake valve	C	The valve that opens so burned gases can leave the cylinder.	Exhaust valve is correct because it means the valve that opens so burned gases can leave the cylinder.	Not this one. Primer is a different Module 2 concept; the wording or scenario matches exhaust valve.	Not this one. Mixture control is a different Module 2 concept; the wording or scenario matches exhaust valve.	Correct. The valve that opens so burned gases can leave the cylinder.	Not this one. Intake valve is a different Module 2 concept; the wording or scenario matches exhaust valve.	Exhaust lets gases out.	Review Module 2, Chapter 1, pages 2-4, then explain exhaust valve in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	2-4	Module 2, Chapter 1, pages 2-4	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	false	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q007	45
AD-M2-Q009	2	1	Airplane Systems	AD2-1-horizontally_opposed_engine	AD2-1-horizontally_opposed_engine	AD2-1-horizontally_opposed_engine	multiple_choice	direct_definition	medium	recall	Which answer best matches this description: a common general-aviation engine arrangement with two banks of cylinders opposite each other?	in-line engine	horizontally opposed engine	radial engine	V engine	B	A common general-aviation engine arrangement with two banks of cylinders opposite each other.	Horizontally opposed engine is correct because it means a common general-aviation engine arrangement with two banks of cylinders opposite each other.	Not this one. In-line engine is a different Module 2 concept; the wording or scenario matches horizontally opposed engine.	Correct. A common general-aviation engine arrangement with two banks of cylinders opposite each other.	Not this one. Radial engine is a different Module 2 concept; the wording or scenario matches horizontally opposed engine.	Not this one. V engine is a different Module 2 concept; the wording or scenario matches horizontally opposed engine.	Opposed = cylinders face each other.	Review Module 2, Chapter 1, pages 3, then explain horizontally opposed engine in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	3	Module 2, Chapter 1, pages 3	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	true	1.0	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q010	35
AD-M2-Q010	2	1	Airplane Systems	AD2-1-horizontally_opposed_engine	AD2-1-horizontally_opposed_engine	AD2-1-horizontally_opposed_engine	multiple_choice	brief_application	medium_hard	application	Which concept best explains this situation? A small airplane engine has four or six cylinders arranged in two opposing banks for a narrow frontal area.	horizontally opposed engine	radial engine	in-line engine	V engine	A	A common general-aviation engine arrangement with two banks of cylinders opposite each other.	Horizontally opposed engine is correct because it means a common general-aviation engine arrangement with two banks of cylinders opposite each other.	Correct. A common general-aviation engine arrangement with two banks of cylinders opposite each other.	Not this one. Radial engine is a different Module 2 concept; the wording or scenario matches horizontally opposed engine.	Not this one. In-line engine is a different Module 2 concept; the wording or scenario matches horizontally opposed engine.	Not this one. V engine is a different Module 2 concept; the wording or scenario matches horizontally opposed engine.	Opposed = cylinders face each other.	Review Module 2, Chapter 1, pages 3, then explain horizontally opposed engine in your own words.	Aerospace Dimensions Module 2: Aircraft Systems and Airports	3	Module 2, Chapter 1, pages 3	high	educational_infographic	optional_after_answer	recip_engine_cycle	recip_engine_cycle	module2_reciprocating_engine_cycle.png	/assets/cap-visuals/module2_reciprocating_engine_cycle.png	approved	true	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	Four-stroke engine parts and intake-compression-power-exhaust cycle.	high	close	true	0.8	original_textbook_grounded	Mitchell_Aerospace_sample_style_analysis	draft	AD-M2-Q009	45
