external_id,module_number,chapter_number,chapter_title,objective_code,concept_code,question_family_code,question_type,question_style,difficulty,cognitive_level,question_text,choice_a,choice_b,choice_c,choice_d,correct_letter,short_explanation,explanation,choice_a_explanation,choice_b_explanation,choice_c_explanation,choice_d_explanation,memory_aid,remediation_text,source_document,source_pages,source_reference_text,visual_priority,visual_type,visual_display_mode,visual_asset_key,visual_group,visual_file_name,visual_storage_path,visual_status,show_visual_button,visual_brief,visual_caption,visual_alt_text,exam_likeness,distractor_difficulty,eligible_for_final_exam,final_exam_weight,content_origin,style_reference,review_status,reinforcement_question_ids,estimated_time_seconds,package_code
AD-M5-Q001,5,1,Space,AD5-1-space-begin-62,AD5-1-space-begin-62,AD5-1-space-begin-62,multiple_choice,direct_exam_style,medium,recall,What altitude is the more widely accepted point where space begins?,62 miles / 100 km,50 miles / 80.5 km,80–90 miles / 129–145 km,1 astronomical unit,A,"The more widely accepted boundary for space is 62 miles, or 100 kilometers.","Module 5 distinguishes the historical 50-mile definition from the more widely accepted 62-mile (100 km) boundary. The atmosphere thins gradually, so the boundary is a convention rather than a sharp physical line.","Correct. The more widely accepted boundary for space is 62 miles, or 100 kilometers.",Not correct. 50 miles / 80.5 km does not match the concept being tested here.,Not correct. 80–90 miles / 129–145 km does not match the concept being tested here.,Not correct. 1 astronomical unit does not match the concept being tested here.,62 miles = common edge of space.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 2. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,2,"Module 5, Chapter 1, pages 2",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,1.0,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q002,35,AD_M5_100
AD-M5-Q002,5,1,Space,AD5-1-space-begin-62,AD5-1-space-begin-62,AD5-1-space-begin-62,multiple_choice,brief_application,medium_hard,application,A cadet is asked for the commonly accepted 'edge of space.' Which answer should the cadet give?,50 miles / 80.5 km,62 miles / 100 km,80–90 miles / 129–145 km,1 astronomical unit,B,"The more widely accepted boundary for space is 62 miles, or 100 kilometers.","Module 5 distinguishes the historical 50-mile definition from the more widely accepted 62-mile (100 km) boundary. The atmosphere thins gradually, so the boundary is a convention rather than a sharp physical line.",Not correct. 50 miles / 80.5 km does not match the concept being tested here.,"Correct. The more widely accepted boundary for space is 62 miles, or 100 kilometers.",Not correct. 80–90 miles / 129–145 km does not match the concept being tested here.,Not correct. 1 astronomical unit does not match the concept being tested here.,62 miles = common edge of space.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 2. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,2,"Module 5, Chapter 1, pages 2",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,0.8,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q001,45,AD_M5_100
AD-M5-Q003,5,1,Space,AD5-1-orbit-altitude,AD5-1-orbit-altitude,AD5-1-orbit-altitude,multiple_choice,direct_exam_style,medium,recall,About what altitude must an object reach to remain in Earth orbit according to Module 5?,Exactly 50 miles,Exactly 62 miles,About 80–90 miles / 129–145 km,About 10 miles,C,Reaching space and staying in orbit are not the same; orbit generally requires roughly 80–90 miles altitude.,The chapter notes that an object orbiting Earth generally needs to be around 80 or 90 miles high to stay in orbit. That is higher than the commonly accepted 62-mile edge of space.,Not correct. Exactly 50 miles does not match the concept being tested here.,Not correct. Exactly 62 miles does not match the concept being tested here.,Correct. Reaching space and staying in orbit are not the same; orbit generally requires roughly 80–90 miles altitude.,Not correct. About 10 miles does not match the concept being tested here.,Space ≠ orbit; orbit needs higher altitude.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 2. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,2,"Module 5, Chapter 1, pages 2",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,1.0,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q004,35,AD_M5_100
AD-M5-Q004,5,1,Space,AD5-1-orbit-altitude,AD5-1-orbit-altitude,AD5-1-orbit-altitude,multiple_choice,brief_application,medium_hard,application,A vehicle has crossed the 62-mile boundary but still cannot maintain orbit. Which fact best explains this?,Exactly 50 miles,Exactly 62 miles,About 10 miles,About 80–90 miles / 129–145 km,D,Reaching space and staying in orbit are not the same; orbit generally requires roughly 80–90 miles altitude.,The chapter notes that an object orbiting Earth generally needs to be around 80 or 90 miles high to stay in orbit. That is higher than the commonly accepted 62-mile edge of space.,Not correct. Exactly 50 miles does not match the concept being tested here.,Not correct. Exactly 62 miles does not match the concept being tested here.,Not correct. About 10 miles does not match the concept being tested here.,Correct. Reaching space and staying in orbit are not the same; orbit generally requires roughly 80–90 miles altitude.,Space ≠ orbit; orbit needs higher altitude.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 2. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,2,"Module 5, Chapter 1, pages 2",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,false,0.8,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q003,45,AD_M5_100
AD-M5-Q005,5,1,Space,AD5-1-vacuum,AD5-1-vacuum,AD5-1-vacuum,multiple_choice,direct_exam_style,medium,recall,What does it mean to say outer space is almost a vacuum?,It contains very few molecules spread extremely far apart,It contains no matter anywhere,It is filled with breathable oxygen,It has greater pressure than Earth,A,"Outer space is almost empty, with very few molecules widely separated from one another.","A vacuum is nearly empty space. Module 5 notes that outer space is not perfectly empty, but gas molecules are so sparse that they interact very little.","Correct. Outer space is almost empty, with very few molecules widely separated from one another.",Not correct. It contains no matter anywhere does not match the concept being tested here.,Not correct. It is filled with breathable oxygen does not match the concept being tested here.,Not correct. It has greater pressure than Earth does not match the concept being tested here.,Vacuum = very few particles.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 3. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,3,"Module 5, Chapter 1, pages 3",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,1.0,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q006,35,AD_M5_100
AD-M5-Q006,5,1,Space,AD5-1-vacuum,AD5-1-vacuum,AD5-1-vacuum,multiple_choice,brief_application,medium_hard,application,A spacecraft enters a region where gas molecules are so far apart that they rarely interact. Which characteristic of space is being described?,It contains no matter anywhere,It contains very few molecules spread extremely far apart,It is filled with breathable oxygen,It has greater pressure than Earth,B,"Outer space is almost empty, with very few molecules widely separated from one another.","A vacuum is nearly empty space. Module 5 notes that outer space is not perfectly empty, but gas molecules are so sparse that they interact very little.",Not correct. It contains no matter anywhere does not match the concept being tested here.,"Correct. Outer space is almost empty, with very few molecules widely separated from one another.",Not correct. It is filled with breathable oxygen does not match the concept being tested here.,Not correct. It has greater pressure than Earth does not match the concept being tested here.,Vacuum = very few particles.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 3. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,3,"Module 5, Chapter 1, pages 3",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,0.8,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q005,45,AD_M5_100
AD-M5-Q007,5,1,Space,AD5-1-pressure,AD5-1-pressure,AD5-1-pressure,multiple_choice,direct_exam_style,medium,recall,What is the pressure like in outer space?,About the same as sea level,Much higher than on Earth,Nearly zero,Exactly one atmosphere,C,"Pressure in space is nearly zero, so humans require pressurized suits and spacecraft.","With virtually no external pressure, gases and fluids in the body would expand dangerously. Pressurized spacecraft and suits compensate for the near-vacuum outside.",Not correct. About the same as sea level does not match the concept being tested here.,Not correct. Much higher than on Earth does not match the concept being tested here.,"Correct. Pressure in space is nearly zero, so humans require pressurized suits and spacecraft.",Not correct. Exactly one atmosphere does not match the concept being tested here.,Near-zero pressure → pressurized protection.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 3. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,3,"Module 5, Chapter 1, pages 3",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,1.0,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q008,35,AD_M5_100
AD-M5-Q008,5,1,Space,AD5-1-pressure,AD5-1-pressure,AD5-1-pressure,multiple_choice,brief_application,medium_hard,application,Why must a spacesuit maintain pressure around an astronaut?,About the same as sea level,Much higher than on Earth,Exactly one atmosphere,Nearly zero,D,"Pressure in space is nearly zero, so humans require pressurized suits and spacecraft.","With virtually no external pressure, gases and fluids in the body would expand dangerously. Pressurized spacecraft and suits compensate for the near-vacuum outside.",Not correct. About the same as sea level does not match the concept being tested here.,Not correct. Much higher than on Earth does not match the concept being tested here.,Not correct. Exactly one atmosphere does not match the concept being tested here.,"Correct. Pressure in space is nearly zero, so humans require pressurized suits and spacecraft.",Near-zero pressure → pressurized protection.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 3. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,3,"Module 5, Chapter 1, pages 3",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,false,0.8,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q007,45,AD_M5_100
AD-M5-Q009,5,1,Space,AD5-1-absolute-zero,AD5-1-absolute-zero,AD5-1-absolute-zero,multiple_choice,direct_exam_style,medium,recall,What is absolute zero?,"The theoretical coldest temperature, where molecules have the least energy",The boiling point of water,The center temperature of the Sun,The average temperature of Earth,A,"Absolute zero is 0 K, the theoretical coldest temperature.",Module 5 defines absolute zero as the point where molecules no longer move or have the least amount of energy. It is the basis of the Kelvin scale.,"Correct. Absolute zero is 0 K, the theoretical coldest temperature.",Not correct. The boiling point of water does not match the concept being tested here.,Not correct. The center temperature of the Sun does not match the concept being tested here.,Not correct. The average temperature of Earth does not match the concept being tested here.,Absolute zero = minimum motion.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 3-4. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,3-4,"Module 5, Chapter 1, pages 3-4",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,1.0,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q010,35,AD_M5_100
AD-M5-Q010,5,1,Space,AD5-1-absolute-zero,AD5-1-absolute-zero,AD5-1-absolute-zero,multiple_choice,brief_application,medium_hard,application,A scientist refers to 0 K as the point of minimum molecular motion. What term is being described?,Kelvin,Absolute zero,Microgravity,Vacuum,B,"Absolute zero is 0 K, the theoretical coldest temperature.",Module 5 defines absolute zero as the point where molecules no longer move or have the least amount of energy. It is the basis of the Kelvin scale.,Not correct. Kelvin does not match the concept being tested here.,"Correct. Absolute zero is 0 K, the theoretical coldest temperature.",Not correct. Microgravity does not match the concept being tested here.,Not correct. Vacuum does not match the concept being tested here.,Absolute zero = minimum motion.,"Review Aerospace Dimensions Module 5, Chapter 1, pages 3-4. Then explain the concept without looking at the answer choices.",Aerospace Dimensions Module 5 — Space Environment,3-4,"Module 5, Chapter 1, pages 3-4",recommended,infographic,optional_modal,module5_space_basics,module5_space_basics,module5_space_basics_study_guide.png,/assets/cap-visuals/module5_space_basics_study_guide.png,approved,true,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",Space Basics & the Space Environment,"Where space begins, the vacuum of space, pressure, temperature, microgravity, regions of space, and Van Allen belts.",high,close,true,0.8,Aerospace_Dimensions_Module_5_source_grounded,Module_4_100_question_bank_style,draft,AD-M5-Q009,45,AD_M5_100
