external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_mode	question_style	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	feedback_display_version	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	memory_aid	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds
LTL2-C5-PA-Q001	Chapter 5 A	LTL2-C5-O01	LTL2-C5-K001	LTL2-C5-F001	easy	understanding	multiple_choice	study_and_test	cap_direct	Why does critical thinking directly affect a leader's effectiveness?	It helps leaders avoid all uncertainty	It helps leaders imagine better ideas and solve problems more effectively	It replaces the need for experience	It guarantees other people will agree	B	Critical thinking improves ideas, judgment, and problem-solving.	1	Leaders who think carefully can understand problems, test claims, and choose stronger actions.	Critical thinking manages uncertainty; it does not eliminate it.	Leaders who think carefully can understand problems, test claims, and choose stronger actions.	Experience remains valuable and is not replaced by thinking.	Sound reasoning can still produce disagreement.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Think through, then follow through.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pa_q001	Create a simple instructional visual for this idea: Critical thinking improves ideas, judgment, and problem-solving.	Think through, then follow through.	Instructional visual representing: Critical thinking improves ideas, judgment, and problem-solving.	Learn to Lead, Volume 2, Chapter 5, Objective 1	39	approved_source	draft	LTL2-C5-PA-Q004,LTL2-C5-PA-Q006	45
LTL2-C5-PA-Q002	Chapter 5 A	LTL2-C5-O02	LTL2-C5-K002	LTL2-C5-F002	easy	recall	multiple_choice	study_and_test	cap_direct	Critical thinking is best defined as	self-guided, self-disciplined, fair-minded reasoning	finding weaknesses in every idea	quickly trusting one's instincts	memorizing enough facts to avoid questions	A	Critical thinking is disciplined, fair-minded reasoning.	1	It seeks high-quality reasoning while guarding against prejudice, assumptions, and emotions clouding logic.	It seeks high-quality reasoning while guarding against prejudice, assumptions, and emotions clouding logic.	Criticism and critical thinking are not the same; nitpicking is not the goal.	Instinct alone can produce 'truthiness' rather than logic.	Facts help, but critical thinking also evaluates how facts support conclusions.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Critical = careful, not critical of people.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pa_q002	Create a simple instructional visual for this idea: Critical thinking is disciplined, fair-minded reasoning.	Critical = careful, not critical of people.	Instructional visual representing: Critical thinking is disciplined, fair-minded reasoning.	Learn to Lead, Volume 2, Chapter 5, Objective 2	40	approved_source	draft	LTL2-C5-PA-Q003,LTL2-C5-PA-Q005	45
LTL2-C5-PA-Q003	Chapter 5 A	LTL2-C5-O02	LTL2-C5-K002	LTL2-C5-F002	medium	misconception	multiple_choice	study_and_test	cap_direct	In the phrase 'critical thinking,' the word critical means	opposed to authority	focused on finding faults	guided by logic and respect for truth	emotionally detached from every issue	C	Here, critical means careful reasoning guided by logic and truth.	1	The chapter warns that critical thinking is not merely criticizing or trying to prove others wrong.	Questioning authority can occur, but it is not the definition.	Fault-finding is a common misunderstanding of the term.	The chapter warns that critical thinking is not merely criticizing or trying to prove others wrong.	Critical thinkers manage emotions; they do not need to become emotionless.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Critical thinking checks ideas, not attacks people.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pa_q003	Create a simple instructional visual for this idea: Here, critical means careful reasoning guided by logic and truth.	Critical thinking checks ideas, not attacks people.	Instructional visual representing: Here, critical means careful reasoning guided by logic and truth.	Learn to Lead, Volume 2, Chapter 5, Objective 2	40	approved_source	draft	LTL2-C5-PA-Q002,LTL2-C5-PA-Q005	45
LTL2-C5-PA-Q004	Chapter 5 A	LTL2-C5-O01	LTL2-C5-K001	LTL2-C5-F001	medium	application	multiple_choice	study_and_test	scenario	A cadet leader hears a surprising claim about a regulation. What action best shows critical thinking?	Repeat it because a senior cadet said it	Reject it because it sounds unusual	Check the regulation and evaluate the supporting evidence	Wait to see whether most cadets believe it	C	Critical thinkers verify claims with relevant evidence.	1	Accuracy requires leaders to support and double-check claims rather than accept or reject them based on status, surprise, or popularity.	Rank does not make a claim automatically true.	Sounding unusual does not make a claim false.	Accuracy requires leaders to support and double-check claims rather than accept or reject them based on status, surprise, or popularity.	Majority belief does not establish accuracy.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Verify before you amplify.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pa_q004	Create a simple instructional visual for this idea: Critical thinkers verify claims with relevant evidence.	Verify before you amplify.	Instructional visual representing: Critical thinkers verify claims with relevant evidence.	Learn to Lead, Volume 2, Chapter 5, Objective 1	39-41	approved_source	draft	LTL2-C5-PA-Q001,LTL2-C5-PA-Q006	45
LTL2-C5-PA-Q005	Chapter 5 A	LTL2-C5-O02	LTL2-C5-K002	LTL2-C5-F002	hard	analysis	multiple_choice	study_and_test	close_distractors	Which statement best distinguishes critical thinking from ordinary careful thought?	Critical thinking is always slower	Critical thinking deliberately applies standards of logic and fair-mindedness	Critical thinking uses facts while ordinary thought uses opinions	Critical thinking requires a formal written analysis	B	Critical thinking deliberately uses standards of logic and fairness.	1	Carefulness helps, but critical thinking specifically aims for disciplined, high-quality, fair-minded reasoning.	Some critical decisions must be made quickly.	Carefulness helps, but critical thinking specifically aims for disciplined, high-quality, fair-minded reasoning.	Both critical and ordinary thinking can use facts and opinions.	Critical thinking can occur without a written product.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Standards make careful thought critical.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pa_q005	Create a simple instructional visual for this idea: Critical thinking deliberately uses standards of logic and fairness.	Standards make careful thought critical.	Instructional visual representing: Critical thinking deliberately uses standards of logic and fairness.	Learn to Lead, Volume 2, Chapter 5, Objective 2	40-42	approved_source	draft	LTL2-C5-PA-Q002,LTL2-C5-PA-Q003	45
LTL2-C5-PA-Q006	Chapter 5 A	LTL2-C5-O01	LTL2-C5-K001	LTL2-C5-F001	medium	application	multiple_choice	study_and_test	scenario	A leader keeps studying, asks strong thinkers questions, and challenges personal assumptions. This most directly reflects the idea that critical thinking is	a fixed talent	a lifelong endeavor developed through study and practice	useful only for academic problems	mainly a way to win debates	B	Critical thinking develops throughout life through practice.	1	The chapter describes becoming a critical thinker as a journey, not a destination.	The chapter says everyone can improve these skills.	The chapter describes becoming a critical thinker as a journey, not a destination.	Leadership decisions, not only schoolwork, require critical thinking.	The purpose is truth and sound judgment, not merely winning.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Thinking skill grows by use.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pa_q006	Create a simple instructional visual for this idea: Critical thinking develops throughout life through practice.	Thinking skill grows by use.	Instructional visual representing: Critical thinking develops throughout life through practice.	Learn to Lead, Volume 2, Chapter 5, Objective 1	40, 43	approved_source	draft	LTL2-C5-PA-Q001,LTL2-C5-PA-Q004	45
LTL2-C5-PB-Q001	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K011	LTL2-C5-F011	easy	recognition	multiple_choice	study_and_test	cap_direct	Which universal intellectual standard focuses on making an idea understandable?	Precision	Relevance	Clarity	Accuracy	C	Clarity means making an idea understandable.	1	The standard of clarity calls thinkers to focus on making an idea understandable.	Precision concerns giving exact detail, not making an idea understandable.	Relevance concerns keeping information connected to the issue, not making an idea understandable.	The standard of clarity calls thinkers to focus on making an idea understandable.	Accuracy concerns checking whether a claim is true, not making an idea understandable.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Clarity: making an idea understandable.	high	seven_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pb_q001	Create a simple instructional visual for this idea: Clarity means making an idea understandable.	Clarity: making an idea understandable.	Instructional visual representing: Clarity means making an idea understandable.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41-42	approved_source	draft		45
LTL2-C5-PB-Q002	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K012	LTL2-C5-F012	easy	recognition	multiple_choice	study_and_test	cap_direct	Which universal intellectual standard focuses on checking whether a claim is true?	Relevance	Accuracy	Clarity	Precision	B	Accuracy means checking whether a claim is true.	1	The standard of accuracy calls thinkers to focus on checking whether a claim is true.	Relevance concerns keeping information connected to the issue, not checking whether a claim is true.	The standard of accuracy calls thinkers to focus on checking whether a claim is true.	Clarity concerns making an idea understandable, not checking whether a claim is true.	Precision concerns giving exact detail, not checking whether a claim is true.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Accuracy: checking whether a claim is true.	high	seven_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pb_q002	Create a simple instructional visual for this idea: Accuracy means checking whether a claim is true.	Accuracy: checking whether a claim is true.	Instructional visual representing: Accuracy means checking whether a claim is true.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41-42	approved_source	draft		45
LTL2-C5-PB-Q003	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K013	LTL2-C5-F013	easy	recognition	multiple_choice	study_and_test	cap_direct	Which universal intellectual standard focuses on giving exact detail?	Precision	Clarity	Accuracy	Relevance	A	Precision means giving exact detail.	1	The standard of precision calls thinkers to focus on giving exact detail.	The standard of precision calls thinkers to focus on giving exact detail.	Clarity concerns making an idea understandable, not giving exact detail.	Accuracy concerns checking whether a claim is true, not giving exact detail.	Relevance concerns keeping information connected to the issue, not giving exact detail.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Precision: giving exact detail.	medium	seven_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pb_q003	Create a simple instructional visual for this idea: Precision means giving exact detail.	Precision: giving exact detail.	Instructional visual representing: Precision means giving exact detail.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41-42	approved_source	draft		45
LTL2-C5-PB-Q004	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K014	LTL2-C5-F014	medium	recognition	multiple_choice	study_and_test	cap_direct	Which universal intellectual standard focuses on keeping information connected to the issue?	Clarity	Accuracy	Precision	Relevance	D	Relevance means keeping information connected to the issue.	1	The standard of relevance calls thinkers to focus on keeping information connected to the issue.	Clarity concerns making an idea understandable, not keeping information connected to the issue.	Accuracy concerns checking whether a claim is true, not keeping information connected to the issue.	Precision concerns giving exact detail, not keeping information connected to the issue.	The standard of relevance calls thinkers to focus on keeping information connected to the issue.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Relevance: keeping information connected to the issue.	high	seven_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pb_q004	Create a simple instructional visual for this idea: Relevance means keeping information connected to the issue.	Relevance: keeping information connected to the issue.	Instructional visual representing: Relevance means keeping information connected to the issue.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41-42	approved_source	draft		45
