external_id,module_number,chapter_number,chapter_title,objective_code,concept_code,question_family_code,question_type,question_style,difficulty,cognitive_level,question_text,choice_a,choice_b,choice_c,choice_d,correct_letter,short_explanation,explanation,choice_a_explanation,choice_b_explanation,choice_c_explanation,choice_d_explanation,memory_aid,remediation_text,source_document,source_pages,source_reference_text,visual_priority,visual_type,visual_display_mode,visual_asset_key,visual_group,visual_file_name,visual_storage_path,visual_status,show_visual_button,visual_brief,visual_caption,visual_alt_text,exam_likeness,distractor_difficulty,eligible_for_final_exam,final_exam_weight,content_origin,style_reference,review_status,reinforcement_question_ids,estimated_time_seconds
AD-M3-Q001,3,1,The Atmosphere,AD3-1-atmosphere_composition,AD3-1-atmosphere_composition,AD3-1-atmosphere_composition,multiple_choice,direct_definition,medium,recall,Which answer best matches this description: the atmosphere is a mixture of gases surrounding Earth that supports life and influences weather?,atmosphere composition,a single layer of oxygen only,a vacuum surrounding Earth,a mixture of gases surrounding Earth,A,The atmosphere is a mixture of gases surrounding earth that supports life and influences weather.,Atmosphere composition is correct because it means the atmosphere is a mixture of gases surrounding Earth that supports life and influences weather.,Correct. The atmosphere is a mixture of gases surrounding earth that supports life and influences weather.,"Not this one. A single layer of oxygen only is related to aviation or weather, but this question is specifically about atmosphere composition.","Not this one. A vacuum surrounding earth is related to aviation or weather, but this question is specifically about atmosphere composition.","Not this one. A mixture of gases surrounding earth is related to aviation or weather, but this question is specifically about atmosphere composition.",Atmosphere = Earth's air blanket.,"Review Module 3, Chapter 1, pages 1, then explain atmosphere composition in your own words.",Aerospace Dimensions Module 3: Air Environment,1,"Module 3, Chapter 1, pages 1",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q002,35
AD-M3-Q002,3,1,The Atmosphere,AD3-1-atmosphere_composition,AD3-1-atmosphere_composition,AD3-1-atmosphere_composition,multiple_choice,brief_application,medium_hard,application,Which concept best explains this situation? Which statement best describes Earth's atmosphere.?,atmosphere composition,a single layer of oxygen only,a mixture of gases surrounding Earth,a vacuum surrounding Earth,A,The atmosphere is a mixture of gases surrounding earth that supports life and influences weather.,Atmosphere composition is correct because it means the atmosphere is a mixture of gases surrounding Earth that supports life and influences weather.,Correct. The atmosphere is a mixture of gases surrounding earth that supports life and influences weather.,"Not this one. A single layer of oxygen only is related to aviation or weather, but this question is specifically about atmosphere composition.","Not this one. A mixture of gases surrounding earth is related to aviation or weather, but this question is specifically about atmosphere composition.","Not this one. A vacuum surrounding earth is related to aviation or weather, but this question is specifically about atmosphere composition.",Atmosphere = Earth's air blanket.,"Review Module 3, Chapter 1, pages 1, then explain atmosphere composition in your own words.",Aerospace Dimensions Module 3: Air Environment,1,"Module 3, Chapter 1, pages 1",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,false,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q001,45
AD-M3-Q003,3,1,The Atmosphere,AD3-1-nitrogen_percentage,AD3-1-nitrogen_percentage,AD3-1-nitrogen_percentage,multiple_choice,direct_definition,medium,recall,Which answer best matches this description: nitrogen makes up about 78 percent of the atmosphere?,argon at 21 percent,oxygen at 78 percent,nitrogen percentage,carbon dioxide at 78 percent,C,Nitrogen makes up about 78 percent of the atmosphere.,Nitrogen percentage is correct because it means nitrogen makes up about 78 percent of the atmosphere.,"Not this one. Argon at 21 percent is related to aviation or weather, but this question is specifically about nitrogen percentage.","Not this one. Oxygen at 78 percent is related to aviation or weather, but this question is specifically about nitrogen percentage.",Correct. Nitrogen makes up about 78 percent of the atmosphere.,"Not this one. Carbon dioxide at 78 percent is related to aviation or weather, but this question is specifically about nitrogen percentage.",N = seventy-eight nitrogen.,"Review Module 3, Chapter 1, pages 1, then explain nitrogen percentage in your own words.",Aerospace Dimensions Module 3: Air Environment,1,"Module 3, Chapter 1, pages 1",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q004,35
AD-M3-Q004,3,1,The Atmosphere,AD3-1-nitrogen_percentage,AD3-1-nitrogen_percentage,AD3-1-nitrogen_percentage,multiple_choice,brief_application,medium_hard,application,Which concept best explains this situation? A cadet is asked which gas makes up most of the atmosphere.?,carbon dioxide at 78 percent,argon at 21 percent,oxygen at 78 percent,nitrogen percentage,D,Nitrogen makes up about 78 percent of the atmosphere.,Nitrogen percentage is correct because it means nitrogen makes up about 78 percent of the atmosphere.,"Not this one. Carbon dioxide at 78 percent is related to aviation or weather, but this question is specifically about nitrogen percentage.","Not this one. Argon at 21 percent is related to aviation or weather, but this question is specifically about nitrogen percentage.","Not this one. Oxygen at 78 percent is related to aviation or weather, but this question is specifically about nitrogen percentage.",Correct. Nitrogen makes up about 78 percent of the atmosphere.,N = seventy-eight nitrogen.,"Review Module 3, Chapter 1, pages 1, then explain nitrogen percentage in your own words.",Aerospace Dimensions Module 3: Air Environment,1,"Module 3, Chapter 1, pages 1",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,true,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q003,45
AD-M3-Q005,3,1,The Atmosphere,AD3-1-oxygen_percentage,AD3-1-oxygen_percentage,AD3-1-oxygen_percentage,multiple_choice,direct_definition,medium,recall,Which answer best matches this description: oxygen makes up about 21 percent of the atmosphere?,nitrogen,oxygen percentage,water vapor,argon,B,Oxygen makes up about 21 percent of the atmosphere.,Oxygen percentage is correct because it means oxygen makes up about 21 percent of the atmosphere.,"Not this one. Nitrogen is related to aviation or weather, but this question is specifically about oxygen percentage.",Correct. Oxygen makes up about 21 percent of the atmosphere.,"Not this one. Water vapor is related to aviation or weather, but this question is specifically about oxygen percentage.","Not this one. Argon is related to aviation or weather, but this question is specifically about oxygen percentage.","Oxygen = about one-fifth, or 21%.","Review Module 3, Chapter 1, pages 1, then explain oxygen percentage in your own words.",Aerospace Dimensions Module 3: Air Environment,1,"Module 3, Chapter 1, pages 1",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q006,35
AD-M3-Q006,3,1,The Atmosphere,AD3-1-oxygen_percentage,AD3-1-oxygen_percentage,AD3-1-oxygen_percentage,multiple_choice,brief_application,medium_hard,application,Which concept best explains this situation? A teacher asks which major gas makes up about 21 percent of the atmosphere.?,argon,water vapor,oxygen percentage,nitrogen,C,Oxygen makes up about 21 percent of the atmosphere.,Oxygen percentage is correct because it means oxygen makes up about 21 percent of the atmosphere.,"Not this one. Argon is related to aviation or weather, but this question is specifically about oxygen percentage.","Not this one. Water vapor is related to aviation or weather, but this question is specifically about oxygen percentage.",Correct. Oxygen makes up about 21 percent of the atmosphere.,"Not this one. Nitrogen is related to aviation or weather, but this question is specifically about oxygen percentage.","Oxygen = about one-fifth, or 21%.","Review Module 3, Chapter 1, pages 1, then explain oxygen percentage in your own words.",Aerospace Dimensions Module 3: Air Environment,1,"Module 3, Chapter 1, pages 1",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,false,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q005,45
AD-M3-Q007,3,1,The Atmosphere,AD3-1-troposphere,AD3-1-troposphere,AD3-1-troposphere,multiple_choice,direct_definition,medium,recall,Which answer best matches this description: the troposphere is the lowest atmospheric layer and the layer where most weather occurs?,mesosphere,thermosphere,stratosphere,troposphere,D,The troposphere is the lowest atmospheric layer and the layer where most weather occurs.,Troposphere is correct because it means the troposphere is the lowest atmospheric layer and the layer where most weather occurs.,"Not this one. Mesosphere is related to aviation or weather, but this question is specifically about troposphere.","Not this one. Thermosphere is related to aviation or weather, but this question is specifically about troposphere.","Not this one. Stratosphere is related to aviation or weather, but this question is specifically about troposphere.",Correct. The troposphere is the lowest atmospheric layer and the layer where most weather occurs.,Troposphere = weather layer.,"Review Module 3, Chapter 1, pages 2, then explain troposphere in your own words.",Aerospace Dimensions Module 3: Air Environment,2,"Module 3, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q008,35
AD-M3-Q008,3,1,The Atmosphere,AD3-1-troposphere,AD3-1-troposphere,AD3-1-troposphere,multiple_choice,brief_application,medium_hard,application,Which concept best explains this situation? A pilot hears that nearly all clouds and storms develop in the lowest layer of the atmosphere.?,stratosphere,mesosphere,troposphere,thermosphere,C,The troposphere is the lowest atmospheric layer and the layer where most weather occurs.,Troposphere is correct because it means the troposphere is the lowest atmospheric layer and the layer where most weather occurs.,"Not this one. Stratosphere is related to aviation or weather, but this question is specifically about troposphere.","Not this one. Mesosphere is related to aviation or weather, but this question is specifically about troposphere.",Correct. The troposphere is the lowest atmospheric layer and the layer where most weather occurs.,"Not this one. Thermosphere is related to aviation or weather, but this question is specifically about troposphere.",Troposphere = weather layer.,"Review Module 3, Chapter 1, pages 2, then explain troposphere in your own words.",Aerospace Dimensions Module 3: Air Environment,2,"Module 3, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,true,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q007,45
AD-M3-Q009,3,1,The Atmosphere,AD3-1-standard_lapse_rate,AD3-1-standard_lapse_rate,AD3-1-standard_lapse_rate,multiple_choice,direct_definition,medium,recall,"Which answer best matches this description: the standard temperature lapse rate is about 3.5°F or 2°C per 1,000 feet of altitude gain in the troposphere?","it drops 10°F per 1,000 feet",standard lapse rate,"it rises 3.5°F per 1,000 feet",it stays exactly constant,B,"The standard temperature lapse rate is about 3.5°f or 2°c per 1,000 feet of altitude gain in the troposphere.","Standard lapse rate is correct because it means the standard temperature lapse rate is about 3.5°F or 2°C per 1,000 feet of altitude gain in the troposphere.","Not this one. It drops 10°f per 1,000 feet is related to aviation or weather, but this question is specifically about standard lapse rate.","Correct. The standard temperature lapse rate is about 3.5°f or 2°c per 1,000 feet of altitude gain in the troposphere.","Not this one. It rises 3.5°f per 1,000 feet is related to aviation or weather, but this question is specifically about standard lapse rate.","Not this one. It stays exactly constant is related to aviation or weather, but this question is specifically about standard lapse rate.","Lapse rate: 3.5°F or 2°C per 1,000 ft.","Review Module 3, Chapter 1, pages 2, then explain standard lapse rate in your own words.",Aerospace Dimensions Module 3: Air Environment,2,"Module 3, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,true,1.0,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q010,35
AD-M3-Q010,3,1,The Atmosphere,AD3-1-standard_lapse_rate,AD3-1-standard_lapse_rate,AD3-1-standard_lapse_rate,multiple_choice,brief_application,medium_hard,application,"Which concept best explains this situation? As an aircraft climbs through the troposphere, what usually happens to temperature.?",standard lapse rate,"it drops 10°F per 1,000 feet",it stays exactly constant,"it rises 3.5°F per 1,000 feet",A,"The standard temperature lapse rate is about 3.5°f or 2°c per 1,000 feet of altitude gain in the troposphere.","Standard lapse rate is correct because it means the standard temperature lapse rate is about 3.5°F or 2°C per 1,000 feet of altitude gain in the troposphere.","Correct. The standard temperature lapse rate is about 3.5°f or 2°c per 1,000 feet of altitude gain in the troposphere.","Not this one. It drops 10°f per 1,000 feet is related to aviation or weather, but this question is specifically about standard lapse rate.","Not this one. It stays exactly constant is related to aviation or weather, but this question is specifically about standard lapse rate.","Not this one. It rises 3.5°f per 1,000 feet is related to aviation or weather, but this question is specifically about standard lapse rate.","Lapse rate: 3.5°F or 2°C per 1,000 ft.","Review Module 3, Chapter 1, pages 2, then explain standard lapse rate in your own words.",Aerospace Dimensions Module 3: Air Environment,2,"Module 3, Chapter 1, pages 2",high,educational_infographic,optional_after_answer,module3_atmosphere_layers,module3_atmosphere_layers,module3_atmosphere_layers.png,/assets/cap-visuals/module3_atmosphere_layers.png,approved,true,"Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.","Atmosphere composition, standard lapse rate, and major layers from troposphere through thermosphere.",high,close,false,0.8,original_textbook_grounded,Mitchell_Aerospace_sample_style_analysis,draft,AD-M3-Q009,45
